item,base_price,reference_currency,float_qty,n_listings,ask_min,ask_median,ask_max,pred_mean,pred_std,pred_cv,pred_min,pred_max,factor_mean,factor_std,factor_cv
P250 | Inferno (Factory New),17.21,,123,48,17.13,25.72,1000.0,21.5425,4.6306,0.215,16.92,28.64,1.2517,0.2691,0.215
P90 | Nostalgia (Factory New),28.09,,81,33,27.51,36.45,140.0,35.2024,8.2542,0.2345,27.43,48.04,1.2532,0.2938,0.2345
MP7 | Fade (Factory New),36.79,,1528,400,38.01,50.0,99826.84,43.0497,6.243,0.145,33.14,86.12,1.1701,0.1697,0.145
AWP | Duality (Minimal Wear),6.38,,1537,400,6.4,9.33,117.68,8.0703,1.7242,0.2136,6.33,13.95,1.2649,0.2702,0.2136
M4A1-S | Control Panel (Field-Tested),14.28,,742,338,14.11,24.285,417.74,15.3807,2.1682,0.141,14.29,37.35,1.0771,0.1518,0.141
MP9 | Rose Iron (Factory New),26.45,,284,109,25.0,34.35,2000.0,29.3445,4.8085,0.1639,26.2,45.21,1.1094,0.1818,0.1639
M4A4 | In Living Color (Field-Tested),38.75,,739,198,37.64,43.525000000000006,150.0,40.0613,2.5557,0.0638,37.97,48.08,1.0338,0.066,0.0638
MP5-SD | Phosphor (Minimal Wear),6.68,,214,63,6.5,8.63,9999.0,7.5113,0.9554,0.1272,6.35,9.26,1.1244,0.143,0.1272
Five-SeveN | Fowl Play (Field-Tested),19.95,,180,69,19.41,22.0,200.0,20.2017,1.0149,0.0502,19.32,22.94,1.0126,0.0509,0.0502
FAMAS | Neural Net (Factory New),24.46,,171,62,22.99,27.73,395.0,25.636,4.1417,0.1616,22.33,36.26,1.0481,0.1693,0.1616
UMP-45 | Late Night Transit (Factory New),6.83,,739,400,7.02,15.475,500.0,8.4117,1.7065,0.2029,7.14,12.94,1.2316,0.2498,0.2029
P250 | Supernova (Factory New),6.43,,587,166,6.4,11.99,1341.41,7.4978,4.317,0.5758,6.34,59.66,1.1661,0.6714,0.5758
AK-47 | Legion of Anubis (Field-Tested),37.84,,1084,328,37.46,43.0,1258.13,39.0168,1.5829,0.0406,37.3,44.81,1.0311,0.0418,0.0406
Dual Berettas | Melondrama (Minimal Wear),9.05,,804,221,8.8,10.26,123.45,9.9824,1.2718,0.1274,8.92,14.07,1.103,0.1405,0.1274
P90 | Wave Breaker (Factory New),7.17,,393,106,7.21,12.88,479.24,8.7005,1.5766,0.1812,7.24,11.68,1.2135,0.2199,0.1812
FAMAS | Djinn (Field-Tested),12.77,,248,76,12.58,14.51,300.0,13.3221,0.9739,0.0731,12.65,16.55,1.0432,0.0763,0.0731
M4A1-S | Vaporwave (Battle-Scarred),52.95,,49,26,52.58,57.245000000000005,170.26,52.5331,1.152,0.0219,51.58,57.52,0.9921,0.0218,0.0219
AK-47 | Ice Coaled (Factory New),20.79,,2101,400,21.35,39.955,12001.0,24.0195,5.1008,0.2124,21.11,69.99,1.1553,0.2453,0.2124
Glock-18 | Moonrise (Factory New),4.34,,1754,400,4.39,10.0,4500.0,6.1475,25.4914,4.1466,4.38,514.21,1.4165,5.8736,4.1466
M4A1-S | Leaded Glass (Minimal Wear),10.28,,1250,207,10.45,15.0,100.0,10.6261,0.4682,0.0441,10.2,12.88,1.0337,0.0455,0.0441
FAMAS | Rapid Eye Movement (Minimal Wear),9.07,,865,228,8.82,9.72,110.14,9.5837,0.9054,0.0945,9.02,13.59,1.0566,0.0998,0.0945
MAC-10 | Malachite (Factory New),16.45,,180,61,16.1,20.15,1000.0,18.208,3.0947,0.17,16.39,25.96,1.1069,0.1881,0.17
M4A4 | Tooth Fairy (Minimal Wear),6.09,,630,211,6.26,8.03,400.28,6.9521,0.9455,0.136,6.05,8.76,1.1416,0.1553,0.136
AWP | Exoskeleton (Battle-Scarred),4.88,,364,105,4.73,14.0,2250.0,5.6174,0.9293,0.1654,4.75,8.66,1.1511,0.1904,0.1654
AK-47 | Searing Rage (Field-Tested),5.36,,1938,400,5.25,5.845,60.01,5.6884,0.8421,0.148,5.23,13.05,1.0613,0.1571,0.148
Desert Eagle | Heat Treated (Minimal Wear),3.41,,4836,400,3.54,29.165,4000.0,3.9314,2.01,0.5113,3.51,29.58,1.1529,0.5894,0.5113
Dual Berettas | Royal Consorts (Field-Tested),4.06,,415,72,4.09,5.65,33.0,4.3697,0.5491,0.1257,3.92,5.66,1.0763,0.1352,0.1257
MP9 | Ruby Poison Dart (Factory New),9.08,,412,146,9.06,14.015,991.0,10.3305,1.8286,0.177,9.08,14.87,1.1377,0.2014,0.177
Tec-9 | Fuel Injector (Field-Tested),11.56,,867,270,11.31,13.345,200.0,12.2222,1.0669,0.0873,11.43,22.77,1.0573,0.0923,0.0873
P250 | Muertos (Field-Tested),12.85,,371,191,12.77,14.85,370.0,13.4751,0.5435,0.0403,12.74,14.68,1.0486,0.0423,0.0403
Glock-18 | Water Elemental (Field-Tested),19.35,,1267,400,19.32,23.005000000000003,600.0,19.6666,0.8338,0.0424,18.78,21.99,1.0164,0.0431,0.0424
USP-S | Ticket to Hell (Factory New),3.59,,1046,350,3.68,8.684999999999999,590.0,4.412,0.8997,0.2039,3.69,6.53,1.229,0.2506,0.2039
USP-S | Cortex (Battle-Scarred),3.66,,289,95,3.56,4.7,222.0,3.8604,0.4871,0.1262,3.56,5.35,1.0548,0.1331,0.1262
AK-47 | Safety Net (Minimal Wear),4.56,,422,92,4.48,6.245,50.0,4.6101,0.1314,0.0285,4.47,4.94,1.011,0.0288,0.0285
AWP | Black Nile (Battle-Scarred),3.5,,546,219,3.46,6.99,346.75,4.3921,0.9698,0.2208,3.33,8.83,1.2549,0.2771,0.2208
SG 553 | Candy Apple (Factory New),19.94,,320,102,19.09,30.0,620.0,23.8653,5.1147,0.2143,19.97,36.37,1.1969,0.2565,0.2143
AK-47 | Crossfade (Factory New),8.58,,1681,355,8.9,14.73,9651.87,10.8454,2.5118,0.2316,8.64,20.61,1.264,0.2928,0.2316
AK-47 | Aquamarine Revenge (Battle-Scarred),40.1,,96,55,38.49,45.0,1188.03,40.356,1.9995,0.0495,39.12,51.57,1.0064,0.0499,0.0495
Galil AR | Rocket Pop (Factory New),18.68,,314,99,18.53,26.86,1750.0,28.1544,60.9725,2.1656,17.82,627.72,1.5072,3.2641,2.1656
CZ75-Auto | Slalom (Field-Tested),12.61,,188,62,12.74,16.34,27.57,13.8103,1.0437,0.0756,12.75,15.59,1.0952,0.0828,0.0756
AUG | Navy Murano (Minimal Wear),5.49,,99,15,5.4,6.38,50.0,5.886,0.5674,0.0964,5.39,6.78,1.0721,0.1034,0.0964
G3SG1 | Dream Glade (Factory New),6.03,,567,159,6.09,10.99,50.87,7.5252,1.4444,0.1919,6.05,10.41,1.248,0.2395,0.1919
Galil AR | Connexion (Factory New),5.68,,522,152,5.67,10.48,69.11,7.3869,1.6209,0.2194,5.65,10.2,1.3005,0.2854,0.2194
AWP | Exoskeleton (Minimal Wear),16.47,,413,61,15.99,23.47,199.0,16.8608,0.5776,0.0343,16.47,19.61,1.0237,0.0351,0.0343
MP7 | Impire (Factory New),34.33,,81,23,33.36,50.38,93.08,37.6974,5.8973,0.1564,33.39,49.34,1.0981,0.1718,0.1564
P2000 | Wicked Sick (Minimal Wear),6.63,,617,174,6.5,9.535,10204.09,8.1194,1.6322,0.201,6.62,10.72,1.2246,0.2462,0.201
Tec-9 | Fuel Injector (Battle-Scarred),11.18,,114,42,11.06,12.51,133.33,11.5771,1.1695,0.101,11.07,16.76,1.0355,0.1046,0.101
Desert Eagle | Crimson Web (Field-Tested),12.9,,741,269,13.11,22.62,1488.13,13.7436,1.7067,0.1242,12.83,35.45,1.0654,0.1323,0.1242
USP-S | Cyrex (Minimal Wear),4.18,,1098,322,4.12,6.6,13493.78,4.261,0.1455,0.0341,4.18,5.69,1.0194,0.0348,0.0341
Glock-18 | Mirror Mosaic (Well-Worn),6.73,,284,106,6.7,7.38,196.33,6.8604,0.0991,0.0144,6.43,7.17,1.0194,0.0147,0.0144
Galil AR | Chromatic Aberration (Field-Tested),4.22,,899,305,4.32,4.77,99826.84,4.4918,0.3121,0.0695,4.31,6.53,1.0644,0.074,0.0695
