item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc
Sawed-Off | Kiss♥Love (Field-Tested),ok,,best_deal,2026-04-19T06:56:22.072694+00:00,4.09,,50,True,8,-0.0010899136069257,-0.0037631726632164,4.1450000000000005,4.1425,2/2,4.6272,4.564,4.432,4.474,4.719,4.983,3.985,5.248,1334,5.2947786998616895,11.90784923928076,2.852697095435677,0.9710780017528484,26.68,-0.0007735628455880668,-0.023788546255506526,-0.03631224179169379,-0.004777896518386234,-0.031437169158572864,0.12296931407942235,0.0,7,3,2026-04-29T08:45:43.763992+00:00
Sawed-Off | Kiss♥Love (Minimal Wear),ok,,best_deal,2026-04-19T06:56:24.037981+00:00,6.91,,50,True,8,-0.0220167575497508,-0.0186445805914833,7.1425,6.99125,1/2,8.2878,8.307,8.111,8.225,8.348,8.419,5.756,9.922,600,1.484109172518655,3.716305895412532,2.3649219334443363,0.9764054411941736,12.0,-0.023387109838057425,-0.018335343787695968,-0.0374926079243052,-0.0036770842674117726,-0.02817447745125623,0.10063897763578285,0.0,7,3,2026-04-29T09:54:04.648260+00:00
Sawed-Off | Kiss♥Love (Well-Worn),ok,,best_deal,2026-04-19T06:56:25.974430+00:00,3.77,,50,True,8,-0.0395719141554061,-0.0434724451578384,3.7125,3.57125,2/2,4.1444,4.1255,3.929,4.012,4.2403,4.431,3.037,4.62,666,5.508638162339563,12.112730431425543,4.741337708715372,0.9523694097685129,13.32,-0.06386643088312309,0.046859421734795736,0.001311240910716549,-0.0028574916726842553,-0.011793621074570382,0.10428571428571443,0.044761904761904905,7,3,2026-04-29T10:34:30.982493+00:00
Sawed-Off | Snake Camo (Factory New),ok,,best_deal,2026-04-19T07:45:56.937567+00:00,3.65,,50,True,8,0.1152728791892664,0.1173511681998535,4.3375,4.8975,2/2,13.5593,7.121,4.233,4.952,20.876,43.934,2.952,46.32,67,117.43969083949762,292.79535079244505,21.299034610931248,0.5944389832888638,1.34,-0.09033314977184322,-0.2357424677187948,-0.7765103838892385,-0.07890960352886922,-0.16881793591755823,3.646368649536549,0.17188783292267978,7,3,2026-04-29T06:23:51.042029+00:00
Sawed-Off | The Kraken (Minimal Wear),ok,,best_deal,2026-04-19T07:46:58.009311+00:00,88.42,,22,False,8,-0.0026555281197119,-0.0058689100437093,88.25375,88.07000000000001,2/2->2/2,108.8946,109.124,100.755,108.9582,115.118,115.118,90.556,115.118,16,5.656662497497571,13.189818411564943,7.685413234448724,0.9233074300795425,0.7272727272727273,-0.07476244214830706,-0.01553472962853708,0.13313065463131268,0.011095696488733424,,0.15787702492140027,0.14209715934759953,7,3,2026-04-29T08:52:10.127017+00:00
Sawed-Off | Wasteland Princess (Factory New),ok,,best_deal,2026-04-19T07:47:13.228227+00:00,68.96,,50,True,8,0.0190694582930561,0.0141202437582527,76.66125,78.14125,2/2,80.3419,80.561,78.526,79.2378,81.7685,82.3278,76.87,82.551,10,3.1499130590638384,4.732026501738196,2.5329249121566844,0.9747396382865157,0.2,-0.004676165907558248,0.019209768688573492,-0.02705648218347223,0.002750519340951512,,0.11544221497102221,0.06596089222227638,7,3,2026-04-29T07:35:53.972702+00:00
Sawed-Off | Wasteland Princess (Field-Tested),ok,,best_deal,2026-04-19T07:47:16.012377+00:00,35.98,,50,True,8,-0.0023892764635587,-0.0053605632223643,37.8825,37.77625,2/2,40.6605,40.4845,39.582,40.206,41.3858,42.3908,31.219,46.654,110,2.9015875358148575,6.907932760295614,2.2195988735996766,0.9777075176919563,2.2,-0.014482265633157347,-0.0006462517399083989,-0.04810833846299534,0.00024118806850131108,-0.007010366193732076,0.09494851514699304,0.014413271650997437,7,3,2026-04-29T08:50:43.019598+00:00
Sawed-Off | Wasteland Princess (Minimal Wear),ok,,best_deal,2026-04-19T07:47:18.230560+00:00,45.95,,50,True,8,0.0066680961296251,0.0027099418210594,49.54125,49.94125,2/2,52.9466,53.044,49.596,51.2235,54.5892,57.484,42.789,59.751,46,6.356782116320966,14.898029335217004,6.512221747949823,0.9349973606816983,0.92,-0.05278809677580214,-0.028159982411462003,-0.07976822455848176,0.014065797130716191,0.010063425407251136,0.13635849483447712,0.049675740894351825,7,3,2026-04-29T08:12:23.959343+00:00
Tec-9 | Avalanche (Factory New),ok,,best_deal,2026-04-18T19:26:43.594881+00:00,25.88,,50,True,8,-0.0092721262425322,-0.011116916086624,27.18125,26.95875,1/1,26.4137,26.642,25.04,25.538,26.9495,28.0438,21.962,31.482,27,5.343817791524854,11.372128857373266,6.065034432888995,0.9398693791757375,0.54,-0.06617205615469289,-0.041539036234590876,-0.07608656512188972,-0.005079464529441445,-0.04865870652360038,0.1822238677995167,0.04135162522410164,7,3,2026-04-29T09:15:49.444594+00:00
Tec-9 | Bamboo Forest (Factory New),ok,,best_deal,2026-04-18T19:27:46.953689+00:00,32.39,,50,True,8,-0.0319651739711601,-0.0283443548176892,34.86125,33.77375,1/1,39.4576,39.629,35.528,37.984,41.22,42.384,28.733,43.557,105,8.201208385710224,17.37561331657273,10.393434978305825,0.8965151782785334,2.1,-0.12607228987753288,0.08899226374070879,0.30195865070729044,0.02862016069553113,0.06855250964166038,0.23192645215211022,0.23192645215211022,7,3,2026-04-29T10:16:12.171669+00:00
