market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
AK-47 | Midnight Laminate (Battle-Scarred),560282225020929621,52294307741,3.56,3.1,0.72157627344131,3,,310,46,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),523129611935260886,52425911261,3.61,3.15,0.71750396490097,475,,315,46,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),552400925684632413,52303300759,3.62,3.16,0.69532740116119,155,,316,46,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),555778625380708635,52369332829,3.68,3.2,0.72510516643524,50,,320,48,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),541142561571568287,52093683696,3.71,3.23,0.57329189777374,493,,323,48,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),491604414582442418,52698163617,3.73,3.25,0.63856530189514,644,,325,48,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),526507852380357702,52640125022,3.75,3.27,0.46322101354599,976,,327,48,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),497234366347414798,52544070100,3.83,3.34,0.69374579191208,843,,334,49,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),551275660741776991,50127646210,3.85,3.36,0.69498515129089,542,,336,49,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),537764861826716887,52339805400,3.88,3.39,0.64419174194336,662,,339,49,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),537764861826718795,52334434096,3.88,3.39,0.68447995185852,645,,339,49,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),537764861826720055,52334431812,3.88,3.39,0.66590988636017,200,,339,49,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),492730314451768617,50627486626,3.91,3.4,0.59024530649185,67,,340,51,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),554651456967179214,50137756124,3.94,3.43,0.70295858383179,752,,343,51,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),523128163040297142,52038100538,3.94,3.43,0.64239394664764,964,,343,51,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),522003712051820101,50778445338,4.0,3.49,0.56921887397766,649,,349,51,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),556904525282566940,52139383752,4.04,3.52,0.63525319099426,147,,352,52,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),490479056076853005,52176901998,4.23,3.69,0.58890902996063,426,,369,54,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),541141292197827190,51915408005,4.25,3.7,0.66826379299164,510,,370,55,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),524254062943746545,52032833951,4.27,3.72,0.59712499380112,672,,372,55,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),514122412699284364,52558179089,4.43,3.86,0.69851571321487,578,,386,57,2003,295
USP-S | Jawbreaker (Minimal Wear),503989854968240207,52696941579,8.18,7.12,0.14999774098396,404,,712,106,2003,467
USP-S | Jawbreaker (Minimal Wear),503989854968240531,52836861103,8.18,7.12,0.14999951422215,285,,712,106,2003,467
USP-S | Jawbreaker (Minimal Wear),594061847516330216,51880532445,8.2,7.14,0.09009774029255,385,,714,106,2003,467
USP-S | Jawbreaker (Minimal Wear),498360355425042766,52684353538,8.97,7.8,0.14772062003613,930,,780,117,2003,467
USP-S | Jawbreaker (Minimal Wear),498360355425043090,52684054626,8.97,7.8,0.1487145870924,883,,780,117,2003,467
USP-S | Jawbreaker (Minimal Wear),498360355425041290,52691332391,8.97,7.8,0.14358255267143,227,,780,117,2003,467
USP-S | Jawbreaker (Minimal Wear),498360355425042550,52685966422,8.97,7.8,0.13435661792755,241,,780,117,2003,467
USP-S | Jawbreaker (Minimal Wear),498360355425041902,52689498676,8.97,7.8,0.14227424561977,690,,780,117,2003,467
USP-S | Jawbreaker (Minimal Wear),519751912236091278,52422625305,8.99,7.82,0.14686420559883,776,,782,117,2003,467
USP-S | Jawbreaker (Minimal Wear),519751912236090630,52383359065,8.99,7.82,0.139513656497,216,,782,117,2003,467
USP-S | Jawbreaker (Minimal Wear),519751912236090810,52419349638,8.99,7.82,0.13979515433311,428,,782,117,2003,467
USP-S | Jawbreaker (Minimal Wear),519751912236091206,52415035580,8.99,7.82,0.14329643547535,468,,782,117,2003,467
USP-S | Jawbreaker (Minimal Wear),494982654978495909,48907668092,9.0,7.83,0.14195173978806,542,,783,117,2003,467
USP-S | Jawbreaker (Minimal Wear),516374664764275703,52600033919,9.0,7.83,0.14976041018963,374,,783,117,2003,467
USP-S | Jawbreaker (Minimal Wear),516374664765158927,52703465326,9.0,7.83,0.14287850260735,450,,783,117,2003,467
USP-S | Jawbreaker (Minimal Wear),528759111498326681,52462001783,9.02,7.85,0.14976754784584,410,,785,117,2003,467
USP-S | Jawbreaker (Minimal Wear),516374212504371181,47366397153,9.02,7.85,0.13382196426392,893,,785,117,2003,467
USP-S | Jawbreaker (Minimal Wear),560282860102534209,50038938767,9.03,7.86,0.13757944107056,353,,786,117,2003,467
USP-S | Jawbreaker (Minimal Wear),501737965972192323,43978568499,9.03,7.86,0.13160219788551,151,,786,117,2003,467
USP-S | Jawbreaker (Minimal Wear),540016661766267479,46227952280,9.03,7.86,0.1233296841383,592,,786,117,2003,467
USP-S | Jawbreaker (Minimal Wear),538890126773309146,51691807138,9.03,7.86,0.13541005551815,669,,786,117,2003,467
USP-S | Jawbreaker (Minimal Wear),529885011400275242,52680377915,9.03,7.86,0.14951702952385,928,,786,117,2003,467
USP-S | Jawbreaker (Minimal Wear),551275660818674755,51574444729,9.05,7.88,0.14666898548603,919,,788,117,2003,467
USP-S | Jawbreaker (Minimal Wear),551275660818674935,51574444742,9.05,7.88,0.14941936731339,415,,788,117,2003,467
