item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,risk_pass
P90 | Attack Vector (Field-Tested),ok,,best_deal,2026-04-18T14:39:32.987900+00:00,11.7,,50,True,8,-0.0401683904726521,-0.0450907882044238,12.71875,12.22375,1/1,13.1282,13.007,12.376,12.9685,13.1647,14.1259,12.24,14.464,50,1.4944927712862333,13.329321613016257,4.806447190018435,0.9514876604905051,1.0,-0.0822122624595568,0.0056940597106802,-0.0129517048672732,0.0003405374008015,-0.0044569466510875,0.0607880642693191,0.0121652639632747,7,3,2026-05-09T01:29:12.132859+00:00,True,True,True,True,True,True
P90 | Deathgaze (Field-Tested),ok,,best_deal,2026-04-18T14:46:56.694623+00:00,7.49,,50,True,8,-0.0175233644859812,-0.0260347129506007,7.62125,7.49,1/1,7.9739,7.951,7.422,7.624,8.316,8.609,6.838,9.242,965,8.678312996149952,14.8860657896387,6.6341438944556606,0.9334674883662432,19.3,-0.0577148826722735,0.05950991831972,-0.0123277737490933,-0.002738734355965,0.0013116183753723,0.0843122858541359,0.0655898188937837,7,3,2026-05-09T00:33:27.040574+00:00,True,True,True,True,True,True
P90 | Deathgaze (Well-Worn),ok,,best_deal,2026-04-18T14:47:05.275196+00:00,6.88,,50,True,8,0.012172965116279,0.0116279069767442,6.79625,6.88,1/1,6.813,6.787,6.617,6.726,6.927,7.038,6.273,7.265,965,2.95024218405988,6.179362982533396,2.495229707911345,0.9749521143362312,19.3,0.0133705887954298,-0.0231988472622478,0.0059355987535243,0.0042420047629903,-0.0062361846195848,0.075527363917982,0.0250774450508924,7,3,2026-05-08T22:48:16.117481+00:00,True,True,True,True,True,True
P90 | Elite Build (Factory New),ok,,best_deal,2026-04-18T15:30:33.771275+00:00,7.67,,47,False,8,0.0076078531414557,0.0107461281733258,9.60625,9.6925,1/1->1/1,8.1823,8.193,7.8555,8.0295,8.409,8.477,6.888,8.603,56,4.638060203121374,7.595663810908916,4.124757097637577,0.9588062980593188,1.1914893617021276,-0.0268249304995309,0.0065399802566634,-0.02018018018018,-0.0009403028706553,0.0064397921887715,0.05982591639083,0.0289322054676964,7,3,2026-05-08T23:03:13.073890+00:00,True,True,True,True,True,True
P90 | Sand Spray (Factory New),ok,,best_deal,2026-04-18T15:44:40.808586+00:00,3.21,,28,False,8,0.0545575596903972,0.0191054917343793,3.5175,3.7375,1/1->1/1,2.295,2.319,2.1968,2.272,2.319,2.4,1.705,2.671,67,2.0479302832244075,8.854030501089317,5.324618736383437,0.9473048727899958,2.392857142857143,0.0119226838054954,-0.0036788573901753,0.0149911816578485,7.585945290289728e-05,0.0039825357517015,0.0847089487402258,0.0421372719374456,7,3,2026-05-08T21:42:43.519125+00:00,True,True,True,True,True,True
P90 | Shallow Grave (Field-Tested),ok,,best_deal,2026-04-18T15:48:44.230197+00:00,34.65,,50,True,8,0.008335616656613,0.0012857372110001,41.97125,42.325,1/1,42.8492,42.37,40.1264,40.9545,44.3428,46.3909,35.167,52.665,198,7.907498856454715,14.619876217058906,5.236037078871952,0.9470474392258672,3.96,-0.0301151206023025,0.0390674974531497,0.0495483099012865,0.0045845795960381,0.0323531590432697,0.097815677869488,0.097815677869488,7,3,2026-05-08T23:00:09.827704+00:00,True,True,True,True,True,True
P90 | Shallow Grave (Minimal Wear),ok,,best_deal,2026-04-18T15:48:59.727167+00:00,46.2,,44,False,8,0.0113947709353725,0.0118531082053761,52.315,52.92,1/1->1/1,54.3218,54.245,51.005,53.239,55.6105,57.864,45.989,66.426,76,4.36565062277024,12.62660662938267,5.96445625881321,0.940270992718223,1.7272727272727273,-0.0395352202615308,-0.0105265055246129,0.0343300736721119,0.0018577337550216,0.0032991017333678,0.0841788869660259,0.0560888969851533,7,3,2026-05-08T22:49:59.456493+00:00,True,True,True,True,True,True
P90 | Shapewood (Field-Tested),ok,,best_deal,2026-04-18T15:49:49.000512+00:00,9.57,,50,True,8,0.027863539926826,0.0271082261821089,10.28125,10.58625,1/1,11.1442,11.077,10.7144,10.915,11.369,11.668,10.1,12.096,112,4.073868021033368,8.556917499685932,3.253710450279073,0.967265505100659,2.24,0.0055373356281675,0.0517636280348146,0.0406091370558376,0.0026752492533295,0.0164091076995172,0.1047038327526132,0.1047038327526132,7,3,2026-05-08T22:11:05.140270+00:00,True,True,True,True,True,True
P90 | Traction (Factory New),ok,,best_deal,2026-04-18T16:36:07.554321+00:00,7.56,,36,False,8,0.2494805840526825,0.2458403909379076,8.2025,10.935,1/1->1/1,5.6044,5.684,4.9884,5.5607,5.7457,5.7911,3.908,9.626,78,3.3009778031546726,14.32267504103918,12.411676539861531,0.8776213933849403,2.1666666666666665,0.1353758656654508,-0.0316280677497406,0.0084593232541396,-0.001513461263244,-0.0237577073601634,0.1868641799036231,0.0451543815812957,7,3,2026-05-08T21:00:57.816420+00:00,True,True,True,True,True,True
P90 | Verdant Growth (Factory New),ok,,best_deal,2026-04-18T16:38:14.013965+00:00,11.75,,50,True,8,0.0524872779066348,0.0315920518842308,14.56125,15.525,1/1,11.1512,11.255,10.703,10.983,11.306,11.306,9.989,15.143,120,2.896549250304888,5.407489776884997,4.950139895257922,0.9509551310528652,2.4,0.0136154572949006,-0.0402448906095254,0.0981765736066755,-0.0104897556652547,-0.006229889092881,0.1499999999999998,0.0893996247654783,7,3,2026-05-08T21:44:33.889999+00:00,True,True,True,True,True,True
