item,base_usd,base_eur,predicted_usd,predicted_eur,quantity,reference_currency,fx_usd_to_eur,fx_source,base_collected_at_utc,status,error
Glock-18 | Nuclear Garden (Factory New),30.66,26.0959524,31.14,26.5044996,635,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:07:31.812549+00:00,ok,
Glock-18 | Vogue (Field-Tested),3.86,3.2854004,3.8,3.2343319999999998,2032,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:53:51.646276+00:00,ok,
Glock-18 | Vogue (Minimal Wear),6.05,5.149397,6.13,5.2174882,780,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:57:31.273870+00:00,ok,
Glock-18 | Water Elemental (Battle-Scarred),19.98,17.0057772,19.23,16.3674222,71,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:09:29.437186+00:00,ok,
Glock-18 | Water Elemental (Minimal Wear),19.51,16.605741400000003,19.25,16.384445,1237,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:01:56.407379+00:00,ok,
M4A1-S | Basilisk (Minimal Wear),10.59,9.0135726,10.85,9.234869,660,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:58:39.375283+00:00,ok,
M4A1-S | Black Lotus (Minimal Wear),8.6,7.3198039999999995,8.6,7.3198039999999995,2556,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:02:28.268457+00:00,ok,
M4A1-S | Control Panel (Field-Tested),15.14,12.8862596,15.47,13.1671358,656,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:50:27.894007+00:00,ok,
M4A1-S | Nightmare (Field-Tested),9.5,8.08583,9.46,8.0517844,1279,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:05:22.917548+00:00,ok,
M4A4 | Desolate Space (Battle-Scarred),12.14,10.3328396,12.17,10.3583738,133,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:06:59.604189+00:00,ok,
M4A4 | Evil Daimyo (Field-Tested),3.45,2.936433,3.46,2.9449444,921,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:03:15.843669+00:00,ok,
M4A4 | Full Throttle (Battle-Scarred),28.98,24.6660372,28.67,24.402183800000003,195,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:02:11.923605+00:00,ok,
M4A4 | Hellish (Battle-Scarred),22.03,18.7506142,22.68,19.3038552,67,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:56:20.609707+00:00,ok,
M4A4 | Neo-Noir (Field-Tested),36.55,31.109167,36.41,30.990007399999996,1418,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:47:06.154579+00:00,ok,
M4A4 | Temukau (Field-Tested),35.31,30.0537534,34.74,29.568603600000003,1823,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:47:22.360331+00:00,ok,
M4A4 | The Emperor (Field-Tested),57.11,48.6086054,57.45,48.897993,990,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:46:22.280777+00:00,ok,
M4A4 | Tooth Fairy (Field-Tested),3.78,3.2173092,3.72,3.1662408,1811,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:54:15.719678+00:00,ok,
M4A4 | Tooth Fairy (Minimal Wear),5.92,5.0387488,5.92,5.0387488,636,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:50:53.985008+00:00,ok,
MP7 | Fade (Factory New),35.29,30.0367306,34.59,29.440932600000004,1571,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:49:17.189989+00:00,ok,
MP7 | Powercore (Minimal Wear),3.99,3.3960486000000003,4.01,3.4130713999999998,227,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:06:02.887714+00:00,ok,
MP9 | Airlock (Field-Tested),11.42,9.7200188,11.53,9.813644199999999,362,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:54:26.848100+00:00,ok,
MP9 | Arctic Tri-Tone (Factory New),15.32,13.039464800000001,15.91,13.5416374,1619,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:01:43.040901+00:00,ok,
MP9 | Food Chain (Field-Tested),3.82,3.2513548,3.93,3.3449802,720,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:59:35.496236+00:00,ok,
MP9 | Hydra (Field-Tested),5.87,4.9961918,6.02,5.1238627999999995,332,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:06:32.206123+00:00,ok,
MP9 | Hydra (Minimal Wear),12.48,10.622227200000001,12.57,10.6988298,348,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:50:42.001601+00:00,ok,
P2000 | Urban Hazard (Factory New),5.39,4.5876446,5.53,4.7068042000000005,130,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:45:14.187627+00:00,ok,
P250 | Epicenter (Field-Tested),5.35,4.553599,5.25,4.468485,489,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:00:46.166265+00:00,ok,
P250 | Visions (Minimal Wear),5.5,4.68127,5.48,4.6642472,718,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:46:51.552194+00:00,ok,
P90 | Shallow Grave (Minimal Wear),46.52,39.595032800000006,46.07,39.2120198,179,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:51:57.968685+00:00,ok,
SG 553 | Dragon Tech (Factory New),2.76,2.3491464,2.68,2.2810552,794,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:59:47.025652+00:00,ok,
SSG 08 | Big Iron (Minimal Wear),15.75,13.405455,15.78,13.430989199999999,150,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:10:32.525745+00:00,ok,
SSG 08 | Bloodshot (Field-Tested),18.99,16.1631486,19.11,16.2652854,331,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:03:02.752013+00:00,ok,
SSG 08 | Ghost Crusader (Factory New),28.87,24.5724118,28.21,24.0106594,202,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:45:26.231681+00:00,ok,
Sawed-Off | Devourer (Field-Tested),4.87,4.1450518,4.68,3.9833352,242,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:48:38.838608+00:00,ok,
Sawed-Off | Wasteland Princess (Minimal Wear),46.11,39.2460654,45.54,38.7609156,178,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:55:28.962444+00:00,ok,
Tec-9 | Fuel Injector (Field-Tested),11.25,9.575325,11.24,9.5668136,882,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:52:11.933395+00:00,ok,
UMP-45 | Crimson Foil (Factory New),15.1,12.852214,15.51,13.2011814,1209,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:58:21.983563+00:00,ok,
UMP-45 | Neo-Noir (Field-Tested),5.79,4.9281006000000005,5.67,4.8259638,347,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:11:17.941714+00:00,ok,
