item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc
AK-47 | Aquamarine Revenge (Minimal Wear),ok,,best_deal,2026-04-17T00:32:58.323907+00:00,73.6,,50,True,8,-0.0014349808811427,0.0004162619675314,72.48875,72.3825,1/1,87.6595,86.245,82.0838,83.2715,90.1,92.1274,79.843,111.96,63,7.789800306869184,11.45751458769443,4.747004032649067,0.9517514058786016,1.26,-0.0418228524246853,0.0511872210147468,0.009686235556229,-0.0022151089306204,,0.1032476086195302,0.0676367436095533,7,3,2026-04-27T02:26:55.617767+00:00
AK-47 | Searing Rage (Factory New),ok,,best_deal,2026-04-17T01:42:34.554287+00:00,48.01,,50,True,8,0.007604993405604,0.0021052631578947,46.5075,46.86375,1/1,47.4943,46.955,44.8675,45.579,48.827,49.951,34.335,57.829,196,6.838715382688022,10.703389669918286,4.395264273818119,0.9555425407304866,3.92,-0.0225083472772299,0.033281596452328,-0.106147501678335,-0.0083398063012112,-0.0544228123043377,0.2133859788416556,0.0322096092358532,7,3,2026-04-27T02:30:51.921492+00:00
AK-47 | Searing Rage (Field-Tested),ok,,best_deal,2026-04-17T01:42:40.243803+00:00,5.53,,50,True,8,0.0141421665434247,0.0129162283523808,6.54,6.635,1/1,6.4641,6.425,6.196,6.283,6.628,6.757,6.077,7.025,4281,5.337169907643752,8.678702371559845,3.54264321405919,0.9643579766536964,85.62,0.0174680979907092,-0.0379096813170216,-0.032061996657043,-0.0055332897347051,-0.0287023469577918,0.0910518053375196,0.008320251177394,7,3,2026-04-27T02:31:01.017357+00:00
AK-47 | The Oligarch (Field-Tested),ok,,best_deal,2026-04-17T01:44:14.253627+00:00,95.77,,50,True,8,0.0080556675035951,0.0064681907546869,99.8975,100.6925,1/1,95.0818,94.012,90.005,91.435,99.03,102.717,60.019,112.811,200,7.987858875200089,13.369540753330297,4.214266031985096,0.9573777815598008,4.0,-0.0201075927295354,0.0331333999777851,-0.1181303183294223,-0.0160881051071635,-0.0594484631214052,0.2079064216829904,0.0320707858041349,7,3,2026-04-27T02:31:10.392356+00:00
AK-47 | The Outsiders (Field-Tested),ok,,best_deal,2026-04-17T01:44:39.049248+00:00,8.83,,50,True,8,-0.0148721311861879,-0.0169004690537286,8.715,8.5875,1/1,10.3096,10.251,9.829,10.012,10.592,10.866,9.538,11.377,1048,5.625824474276404,10.05858617211142,4.093272289904544,0.9588332845576044,20.96,-0.0289722073696722,-0.046743594758459,-0.0695809869237378,-0.016144883570765,-0.0424659163038255,0.114587607714403,0.0,7,3,2026-04-27T02:31:17.780031+00:00
AK-47 | Uncharted (Factory New),ok,,best_deal,2026-04-17T01:45:03.620917+00:00,4.88,,50,True,8,0.0900560783798933,0.0788292011019283,5.28125,5.81,1/1,5.1295,5.077,4.756,4.974,5.179,5.675,3.816,5.778,553,3.996490886051273,17.91597621600545,6.257919875231499,0.9367736852471932,11.06,0.0491038257836609,-0.1503073567321039,-0.2543935966591264,-0.0396326558037899,-0.098450358801622,0.376196032672112,0.0,7,3,2026-04-27T02:31:26.076688+00:00
AK-47 | Wintergreen (Factory New),ok,,best_deal,2026-04-17T01:47:46.079910+00:00,8.44,,50,True,8,0.0096515651515931,0.0060026040486612,10.7725,10.885,1/1,9.3139,9.247,8.773,9.0,9.658,9.838,8.547,10.699,808,7.064709734912329,11.43452259526084,5.089167802961168,0.9487401319346817,16.16,-0.0165497672077648,0.043562110039705,-0.050376793640962,-0.0031169889247667,-0.0456402476829667,0.2514403739536907,0.0417436677899772,7,3,2026-04-27T02:31:35.654252+00:00
AK-47 | Wintergreen (Minimal Wear),ok,,best_deal,2026-04-17T01:47:55.424622+00:00,3.13,,50,True,8,-0.0119015987119748,-0.0093085106382979,3.535,3.495,1/1,3.7431,3.75,3.484,3.555,3.884,3.983,3.431,4.273,3106,8.789506024418255,13.331196067430742,7.1064091261254045,0.9290666666666668,62.12,-0.0469623501692015,0.0694294940796556,0.0022698612862548,0.0123502139736031,0.0118042842417911,0.1217916456970306,0.1132360342224459,7,3,2026-04-27T02:31:45.918360+00:00
AUG | Amber Slipstream (Factory New),ok,,best_deal,2026-04-17T01:50:44.613236+00:00,3.4,,31,False,8,0.0735453846773184,0.092092457848342,4.7425,5.13875,1/1->1/1,3.4117,3.234,2.882,3.145,3.829,3.974,1.0,4.171,167,20.048656095201807,32.00750359058534,10.31743705484069,0.891156462585034,5.387096774193548,-0.0135229159425433,0.0138620245003224,-0.1885964912280701,-0.0466285572165925,-0.1056218599656869,0.4251192368839427,0.0174880763116057,7,3,2026-04-27T02:31:57.724648+00:00
AUG | Carved Jade (Minimal Wear),ok,,best_deal,2026-04-17T01:54:35.588190+00:00,28.75,,22,False,8,-0.0448902401775782,-0.0600551780230828,29.27,28.01375,1/1->1/1,32.3959,31.588,29.9456,30.1955,32.9145,35.7252,29.648,39.315,7,8.39303739053398,17.840529202769495,5.069777348368165,0.9480055717361022,0.3181818181818182,-0.0931885073197248,0.0117407010971366,-0.0853090601185435,-0.0270777129260988,,0.2436109366218136,0.0427149799980163,7,3,2026-04-27T02:32:09.120539+00:00
AUG | Chameleon (Field-Tested),ok,,best_deal,2026-04-17T01:54:52.807451+00:00,84.27,,50,True,8,-0.0272654751291173,-0.0248860640157424,85.31875,83.05625,1/1,97.2695,98.2625,90.5641,94.007,100.19,104.2652,82.509,106.845,58,6.356566035602109,14.085710320295671,7.914505574717673,0.9216547513039052,1.16,-0.0997214558532754,-0.0773179830757663,-0.047772494983542,-0.0109043173137681,,0.1330890443664749,0.035470342765794,7,3,2026-04-27T02:32:17.556374+00:00
AUG | Chameleon (Minimal Wear),ok,,best_deal,2026-04-17T01:54:56.875379+00:00,87.04,,50,True,8,-0.0294274519381111,-0.032833311974952,88.3975,85.87375,1/1,101.4679,101.759,92.2916,96.696,108.1485,112.0884,63.163,115.242,63,11.286820758091968,19.510406739471293,9.330438493356024,0.906962529112904,1.26,-0.1156496680887233,0.0211572046150763,0.0865666791904873,0.0112181792156221,,0.1781896003887704,0.1113977047587006,7,3,2026-04-27T02:32:24.863087+00:00
AUG | Death by Puppy (Factory New),ok,,best_deal,2026-04-17T02:44:51.428587+00:00,29.37,,50,True,8,-0.0254512036162691,-0.0297531981796828,30.0125,29.28375,1/1,30.5466,29.888,28.545,29.221,30.682,31.8258,26.452,52.929,69,4.782856357172316,10.740311524032132,4.396561319426712,0.9550655781584584,1.38,-0.0618852776694059,0.0260952187044012,-0.1035147274640894,-0.0113841093357239,,0.1924895826443546,0.0408426483233017,7,3,2026-04-27T02:32:32.133676+00:00
AUG | Death by Puppy (Field-Tested),ok,,best_deal,2026-04-17T02:45:01.911223+00:00,4.47,,36,False,8,-0.001488009710003,-0.0042653425006367,4.56125,4.555,1/1->1/1,5.2212,5.2315,4.916,5.1045,5.402,5.513,4.014,6.222,172,5.697923848923626,11.434153068260162,6.042672182639992,0.9396922488769952,4.777777777777778,-0.0466795148524934,-0.0140630938806537,-0.0245369935132087,-0.0065997082959696,-0.00777124963523,0.0724749421742481,0.0314186584425596,7,3,2026-04-27T02:32:39.823062+00:00
AUG | Fleet Flock (Battle-Scarred),ok,,best_deal,2026-04-17T02:46:30.247850+00:00,11.95,,20,False,8,-0.0213526493842248,-0.0341058219995228,13.0825,12.8675,1/1->1/1,13.4541,13.405,12.7312,13.145,13.7885,14.5738,9.991,15.008,47,4.782928623988236,13.695453430552776,5.008138782973219,0.9497351734427452,2.35,-0.06093314107322,0.064625850340136,0.0906767848846215,0.0069083268522113,,0.1528576499822505,0.093503727369542,7,3,2026-04-27T02:32:51.448914+00:00
AUG | Fleet Flock (Field-Tested),ok,,best_deal,2026-04-17T02:46:51.685730+00:00,13.04,,43,False,8,-1.4471216263495237e-06,-0.0014905018500804,13.555,13.57625,1/1->1/1,14.7182,14.689,13.803,14.34,15.352,15.683,11.968,16.242,117,6.875840795749484,12.77330108301286,6.019757850824145,0.9396827558036628,2.7209302325581395,-0.048785995088341,-0.0404705882352941,-0.0709496843064505,-0.0124635627403416,-0.032220267031545,0.0924122468997408,0.0,7,3,2026-04-27T02:33:01.063880+00:00
AUG | Lil' Pig (Field-Tested),ok,,best_deal,2026-04-17T02:47:56.871342+00:00,65.65,,46,False,8,-0.0045594418956717,0.0052505021841374,67.01,66.69125,1/1->1/1,77.7409,75.187,72.561,72.604,75.19,85.4558,72.561,100.85,7,3.3264343479429725,16.58689312832755,3.377887315428546,0.965073749451368,0.1521739130434782,-0.0371079542915728,-7.979466173713146e-05,-0.1348568009481401,0.0036655466295017,,0.4368973359756342,0.2810193251492944,7,3,2026-04-27T02:33:09.221036+00:00
AUG | Luxe Trim (Factory New),ok,,best_deal,2026-04-17T02:48:34.177015+00:00,6.47,,50,True,8,0.1164148058213202,0.117209012347817,8.59125,9.7175,1/1,6.9532,6.816,6.162,6.5172,7.521,7.5732,5.778,11.43,78,14.436518437553932,20.29569119254444,9.405741241442788,0.904049295774648,1.56,0.0305221927131293,-0.0524393806602395,-0.1785488160060783,-0.0256331737423154,,0.2325420070911052,0.0,7,3,2026-04-27T02:33:19.047736+00:00
AUG | Momentum (Field-Tested),ok,,best_deal,2026-04-17T02:50:16.458401+00:00,5.91,,50,True,8,0.0164620241111596,0.0204230689305315,7.703749999999999,7.83875,1/1,6.8337,6.829,6.56,6.6883,6.914,7.213,4.914,9.707,332,3.302749608557586,9.555584822277837,3.936374145777545,0.9606091667886952,6.64,-0.005239850175102,-0.023896789327078,-0.0637041203768807,-0.0049628103492836,-0.0193617831798608,0.0680384499849803,0.0,7,3,2026-04-27T02:33:28.870080+00:00
AUG | Navy Murano (Well-Worn),ok,,best_deal,2026-04-17T02:51:17.203538+00:00,3.61,,16,False,8,-0.0492997575936457,-0.0376685934489402,3.6225,3.4525,1/1->1/1,3.6664,3.667,3.458,3.59,3.885,3.889,2.949,3.91,23,8.046039711979052,11.755400392755828,5.700414575605488,0.9430051813471504,1.4375,-0.0985650108622891,-0.0543051557183982,-0.0430349576271185,-0.0110979973535403,,0.1541441815414418,0.0790092707900927,7,3,2026-04-27T02:33:40.067249+00:00
AUG | Plague (Factory New),ok,,best_deal,2026-04-17T02:51:35.444702+00:00,13.02,,16,False,8,0.0211506578883123,0.0125679146954465,15.975,16.396250000000002,1/1->1/1,11.0054,10.76,10.034,10.589,11.435,11.641,9.692,13.374,21,7.687135406255112,14.601922692496403,6.596761589765015,0.9325278810408922,1.3125,-0.0375353231811164,0.0616902531393261,-0.2607473717081294,-0.0615014561839826,,0.7491786351262555,0.0581056979254669,7,3,2026-04-27T02:33:48.656595+00:00
AUG | Spalted Wood (Factory New),ok,,best_deal,2026-04-17T02:56:22.563892+00:00,13.78,,24,False,8,-0.0046886803721517,-0.0219763400975925,15.61625,15.675,1/1->1/1,11.138,11.179,10.273,10.29,11.334,12.401,10.273,14.649,100,9.373316573891188,19.10576405099659,8.134314957802125,0.918955183826818,4.166666666666667,-0.0717676210811603,-0.1074681238615665,-0.2975629735818145,-0.0491963931436903,,0.618270165208941,0.0,7,3,2026-04-27T02:33:56.622791+00:00
AUG | Surveillance (Factory New),ok,,best_deal,2026-04-17T02:58:54.613049+00:00,3.45,,50,True,8,0.1504472121792708,0.1206766785689281,4.91625,5.7775,1/1,3.2912,3.026,2.889,3.026,3.573,4.0,2.889,4.102,264,16.620077783179394,33.75668449197862,4.162615459406903,0.9547257105089226,5.28,0.1247802504599456,0.0130370370370369,-0.166504144319844,-0.0099195760374617,-0.047608524878504,0.56975723895876,0.1149458906112899,7,3,2026-04-27T02:34:06.169585+00:00
AUG | Syd Mead (Field-Tested),ok,,best_deal,2026-04-17T03:40:18.228968+00:00,11.86,,50,True,8,0.1100915616377618,0.0970401617626551,12.90375,14.50125,1/1,13.3412,13.296,12.7942,13.076,13.683,13.823,10.256,15.085,205,4.549815608790809,7.711450244355833,3.761280844301857,0.9622593261131168,4.1,0.0866301567167019,0.0094811112744377,0.0082213902958232,-0.0032314334749839,,0.0908627593738624,0.0492173279941754,7,3,2026-04-27T02:34:14.814211+00:00
AUG | Triqua (Factory New),ok,,best_deal,2026-04-17T03:48:22.609065+00:00,4.98,,38,False,8,0.2019061753125465,0.1963490300770495,5.215,6.54875,1/1->1/1,4.7912,4.697,4.256,4.5427,5.034,5.53,3.45,6.102,96,10.254216062781763,26.590415762230755,9.204374686926029,0.9061102831594636,2.526315789473684,0.1208088524782461,0.0144586415601881,-0.249502487562189,-0.0411455748476696,-0.0760450865655408,0.3588553750966743,0.0142525687769306,7,3,2026-04-27T02:34:22.007412+00:00
AWP | Acheron (Factory New),ok,,best_deal,2026-04-17T03:49:15.834865+00:00,15.04,,50,True,8,0.1355556919708854,0.1407115438256271,17.03625,19.72,1/1,13.7265,13.7,12.7808,13.3245,14.107,14.589,10.622,16.239,462,5.700652023458265,13.173059410629085,6.696535897716097,0.9329051094890513,9.24,0.0887963321265206,0.0460084843810257,-0.1722717285156251,-0.0056100387479498,-0.0564801830132383,0.3075618478781845,0.0439848099399033,7,3,2026-04-27T02:34:32.921126+00:00
