item,risk_pass,high_cv_pass,monitor_pass,pred_cv,pred_range_over_mean,cv_n_listings,cv_source,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,base_price,n_listings,avg_discount,median_discount,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,steam_discount_risk_score,risk_collected_at_utc,status,error,sort_by,collected_at_utc,currency,cap_hit,discount_sample_n,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_band_risk%,steam_daily_ret_3d,trade_days,steam_trade_currency,model_ready,has_summary,summary_ready,has_fit,fit_ready,monitor_pass_before_model_ready
MAC-10 | Sienna Damask (Factory New),True,True,True,0.2284,0.7239242485666302,93.0,summary,True,True,True,True,True,3.44,50,0.1017248385416821,0.0730337078651686,261,7.415322841784847,6.055307298750075,0.9396189861155958,5.22,0.0261762756792578,-0.0061375459452699,-0.0431931020540629,0.3051340006457863,0.071359380045205,0.0570475732479977,2026-05-01T22:58:17.278056+00:00,ok,,best_deal,2026-04-18T02:17:06.418916+00:00,,True,8,3.8125,4.285,1/1,3.0882,3.097,2.91,2.978,3.207,3.208,2.554,4.442,9.64963409105628,0.0642611683848797,7,3,True,True,True,True,True,True
Glock-18 | Grinder (Factory New),True,True,True,0.1057,0.7588930842607314,272.0,summary,True,True,True,True,True,18.37,50,0.0800354238092803,0.0721952157517399,101,5.514391076505026,6.153740766534606,0.9381206589748006,2.02,0.0136896418026186,-0.0115797705545004,-0.068815122981357,0.3239378604213251,0.0641402848064022,0.0280981550030772,2026-05-01T23:05:46.556281+00:00,ok,,best_deal,2026-04-17T19:09:39.094467+00:00,,True,8,20.135,21.96,1/1,17.5178,17.421,16.343,16.934,17.9,18.475,15.573,27.231,12.170478028062892,-0.0572244875315526,7,3,True,True,True,True,True,True
AUG | Arctic Wolf (Factory New),True,True,True,0.1842,0.567683527395874,57.0,summary,True,True,True,True,True,33.66,50,0.0733179063131574,0.0701963241436925,63,5.480830148220864,4.418081692043142,0.9556889990573612,1.26,0.0127985764150297,0.003366831497293,-0.0471049177338939,0.2685498040275713,0.0575077713204487,0.036219258175674,2026-05-01T23:07:59.761337+00:00,ok,,best_deal,2026-04-17T01:51:55.981942+00:00,,True,8,36.77875,39.71625,1/1,28.7274,28.643,27.3738,28.111,29.6855,30.098,21.529,32.864,9.482932670551458,0.0601805416248746,7,3,True,True,True,True,True,True
M4A1-S | Blood Tiger (Factory New),True,True,True,0.1038,0.650731463597424,215.0,summary,True,True,True,True,True,31.89,50,0.0743167964490589,0.0692646556304686,138,6.929460217058975,6.478739853676645,0.9352137376689806,2.76,0.1162445036229642,0.011871446385277,0.0045318731276309,0.2216489125610297,0.1041389258766091,0.0210331548108456,2026-05-01T23:07:23.391559+00:00,ok,,best_deal,2026-04-17T21:17:28.054872+00:00,,True,8,37.2875,40.3425,1/1,34.2119,34.2125,31.996,32.821,35.1917,36.781,20.434,54.896,13.98636147071633,0.1162445036229642,7,3,True,True,True,True,True,True
MP9 | Orange Peel (Factory New),True,True,True,0.1526,0.4371459274483823,43.0,summary,True,True,True,True,True,10.69,32,0.051451795289797,0.0688521757422767,65,1.0590140786577549,3.212342705261848,0.9680503923998348,2.03125,0.0169084646696588,0.0005641437529117,-0.0443438261092488,0.2246228061172124,0.0166273221800267,0.0289608033561053,2026-05-01T23:23:01.749721+00:00,ok,,best_deal,2026-04-18T07:38:22.215772+00:00,,False,8,12.9875,13.74125,1/1->1/1,9.6316,9.684,9.3746,9.607,9.709,9.743,8.692,11.56,3.824909672328597,0.0154247003647733,7,3,True,True,True,True,True,True
P2000 | Wicked Sick (Field-Tested),True,True,True,0.2434,0.6499830623306232,400.0,summary,True,True,True,True,True,3.88,50,0.0732800275650087,0.0687768752986144,2302,5.732913669064745,3.192446043165474,0.9677052535819876,46.04,-0.0051385165326183,0.0012640088037353,-0.0108378343916608,0.0734336402425331,0.0330114529530654,0.0748049133947156,2026-05-01T23:08:16.716401+00:00,ok,,best_deal,2026-04-18T12:27:43.443711+00:00,,True,8,6.04,6.5175,1/1,4.448,4.397,4.255,4.28,4.535,4.849,3.724,4.987,13.354316546762597,0.034138411518811,7,3,True,True,True,True,True,True
MAC-10 | Lapis Gator (Factory New),True,True,True,0.1761,0.5630105521302866,98.0,summary,True,True,True,True,True,5.19,50,0.0684713373559822,0.0687235329703569,208,4.707685570396311,4.73754404124451,0.9523523523523524,4.16,0.0462032944957815,0.0025850851611068,-0.0361845008329776,0.216973886328725,0.0731566820276498,0.0353488909760813,2026-05-01T23:11:03.932513+00:00,ok,,best_deal,2026-04-18T02:01:45.513016+00:00,,True,8,5.1725,5.55,1/1,5.0237,4.995,4.757,4.8715,5.108,5.3061,4.269,7.885,10.93019089515696,0.0789310130515847,7,3,True,True,True,True,True,True
AK-47 | Steel Delta (Factory New),True,True,True,0.153,0.5330578661128529,156.0,summary,True,True,True,True,True,27.09,50,0.0779898926252908,0.0678029585104558,158,4.529831577103821,3.8661373653638447,0.961425607047945,3.16,0.050086387530787,0.0004739646952711,-0.0109881651265716,0.1545920778561551,0.0765083754879137,0.0517103855841872,2026-05-01T23:06:39.102957+00:00,ok,,best_deal,2026-04-17T01:43:22.921881+00:00,,True,8,33.1725,36.03375,1/1,27.4072,27.469,26.4094,26.89,28.1315,28.4918,22.191,29.111,7.598003444350389,0.0748203333709598,7,3,True,True,True,True,True,True
Glock-18 | Steel Disruption (Factory New),True,True,True,0.0842,0.374117591753482,63.0,summary,True,True,True,True,True,69.36,50,0.0515895180713782,0.0670815601438127,86,9.21194374580626,5.580229782222689,0.943675599094663,1.72,0.0414676481394671,0.009592660079986,0.0196099527372373,0.2563623756112989,0.0953808909758885,0.0044785983298352,2026-05-01T23:22:49.751247+00:00,ok,,best_deal,2026-04-17T19:23:40.238452+00:00,,True,8,75.81625,80.08375,1/1,87.6308,86.8185,81.9285,83.504,91.5765,97.86,49.738,103.821,18.18025169232736,-0.0769939029182901,7,3,True,True,True,True,True,True
M4A4 | The Emperor (Field-Tested),True,True,True,0.1272,0.44757771583346373,380.0,summary,True,True,True,True,True,58.98,50,0.0692197071216058,0.0666053024060042,212,6.02342850707258,7.583037515156558,0.9248704850922004,4.24,0.0018743601943567,0.0032898634722517,-0.0126274231491615,0.1186840704016578,0.0409141278224702,0.0077759577097147,2026-05-01T23:10:41.560566+00:00,ok,,best_deal,2026-04-18T00:17:10.242722+00:00,,True,8,74.2675,79.79124999999999,1/1,68.3697,69.0075,63.823,66.3618,70.48,71.4915,56.829,74.883,11.21622590123988,-0.0183510863730117,7,3,True,True,True,True,True,True
