item,base_usd,base_eur,predicted_usd,predicted_eur,quantity,reference_currency,fx_usd_to_eur,fx_source,base_collected_at_utc,status,error
MP9 | Airlock (Field-Tested),11.41,9.7422003,11.3,9.648279,370,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:02:20.193917+00:00,ok,
G3SG1 | Stinger (Field-Tested),3.93,3.3555519,4.65,3.9703095000000004,244,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:08:54.017218+00:00,ok,
M4A1-S | Black Lotus (Minimal Wear),8.59,7.3343997,8.56,7.308784800000001,2877,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:09:24.402681+00:00,ok,
SSG 08 | Big Iron (Minimal Wear),15.42,13.1660586,15.39,13.1404437,155,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:09:30.348448+00:00,ok,
AUG | Fleet Flock (Minimal Wear),13.14,11.2193262,12.79,10.920485699999999,167,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:09:36.425634+00:00,ok,
P90 | Shallow Grave (Minimal Wear),46.45,39.6604035,46.0,39.27618,177,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:09:44.172037+00:00,ok,
M4A4 | Neo-Noir (Field-Tested),36.36,31.0452588,36.03,30.7634949,1390,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:09:56.128534+00:00,ok,
AK-47 | Redline (Battle-Scarred),29.47,25.162370099999997,29.25,24.9745275,286,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:10:00.737169+00:00,ok,
AUG | Syd Mead (Minimal Wear),12.04,10.280113199999999,11.66,9.9556578,370,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:10:07.145278+00:00,ok,
AK-47 | Nightwish (Battle-Scarred),66.69,56.9419227,66.59,56.8565397,248,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:10:19.339546+00:00,ok,
Desert Eagle | Crimson Web (Field-Tested),13.01,11.1083283,12.99,11.091251699999999,726,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:10:30.024241+00:00,ok,
Dual Berettas | Royal Consorts (Field-Tested),3.99,3.4067817000000002,3.97,3.3897051,373,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:10:40.774117+00:00,ok,
M4A4 | The Emperor (Field-Tested),56.53,48.2670099,56.85,48.5402355,979,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:10:44.753309+00:00,ok,
Nova | Sobek's Bite (Field-Tested),11.13,9.5031279,11.0,9.39213,147,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:10:48.372229+00:00,ok,
M4A4 | Temukau (Field-Tested),35.57,30.3707331,35.02,29.9011266,1815,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:11:14.264641+00:00,ok,
M4A4 | Desolate Space (Battle-Scarred),12.49,10.6643367,12.34,10.5362622,126,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:11:19.607159+00:00,ok,
Glock-18 | Mirror Mosaic (Battle-Scarred),4.69,4.0044627,4.81,4.1069223,324,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:11:32.743849+00:00,ok,
MP9 | Hydra (Field-Tested),6.04,5.1571332,6.37,5.4388971,362,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:11:41.161546+00:00,ok,
AK-47 | Cartel (Minimal Wear),22.37,19.1001771,22.39,19.1172537,1216,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:11:52.026352+00:00,ok,
AK-47 | Cartel (Factory New),92.23,78.7487409,89.79,76.6653957,445,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:11:56.341524+00:00,ok,
USP-S | Monster Mashup (Field-Tested),24.43,20.8590669,24.03,20.5175349,275,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:12:03.007742+00:00,ok,
P2000 | Urban Hazard (Factory New),5.86,5.0034438,6.03,5.1485949,116,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:12:09.470565+00:00,ok,
AK-47 | Frontside Misty (Minimal Wear),31.48,26.8785684,31.74,27.100564199999997,1062,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:12:22.672939+00:00,ok,
Desert Eagle | Crimson Web (Minimal Wear),41.38,35.3314854,41.07,35.0667981,570,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:12:27.523231+00:00,ok,
Desert Eagle | Calligraffiti (Factory New),16.15,13.789354499999998,16.25,13.8747375,250,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:12:34.034568+00:00,ok,
M4A4 | Tooth Fairy (Minimal Wear),5.85,4.9949055,5.96,5.0888268,623,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:12:45.279892+00:00,ok,
SSG 08 | Ghost Crusader (Factory New),28.49,24.325616699999998,27.84,23.7706272,204,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:12:51.816927+00:00,ok,
UMP-45 | Wild Child (Battle-Scarred),3.19,2.7237177,3.09,2.6383346999999997,298,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:13:01.492333+00:00,ok,
USP-S | Printstream (Minimal Wear),61.41,52.4337003,62.0,52.93746,1439,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:13:09.865736+00:00,ok,
M4A1-S | Control Panel (Field-Tested),14.49,12.3719967,14.63,12.491532900000001,713,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:13:21.708203+00:00,ok,
P250 | Epicenter (Field-Tested),5.46,4.6619117999999995,5.37,4.5850671,472,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:13:31.124583+00:00,ok,
MP7 | Fade (Factory New),36.59,31.2416397,36.3,30.994028999999998,1493,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:13:42.771710+00:00,ok,
Sawed-Off | Devourer (Field-Tested),4.92,4.2008436,5.03,4.2947649,231,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:13:52.901036+00:00,ok,
AK-47 | Slate (Battle-Scarred),3.66,3.1250178,3.71,3.1677093,3726,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:14:17.864094+00:00,ok,
AK-47 | Head Shot (Field-Tested),35.26,30.106045799999997,35.04,29.918203199999997,1492,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:14:27.914097+00:00,ok,
UMP-45 | Neo-Noir (Field-Tested),5.85,4.9949055,5.76,4.9180608,361,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:14:32.732747+00:00,ok,
AK-47 | Ice Coaled (Field-Tested),4.51,3.8507732999999997,4.47,3.8166200999999997,8670,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:15:06.163408+00:00,ok,
Galil AR | Black Sand (Factory New),22.43,19.151406899999998,23.01,19.6466283,136,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:15:10.658109+00:00,ok,
P90 | Nostalgia (Minimal Wear),6.08,5.1912864,5.92,5.0546736,175,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:15:15.469998+00:00,ok,
AWP | Redline (Field-Tested),38.82,33.1456806,38.55,32.9151465,1964,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:15:23.768926+00:00,ok,
Five-SeveN | Boost Protocol (Factory New),12.98,11.0827134,13.16,11.2364028,549,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:15:35.294616+00:00,ok,
AK-47 | Blue Laminate (Minimal Wear),17.18,14.6687994,17.24,14.720029199999999,1924,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:15:48.593247+00:00,ok,
AK-47 | Aphrodite (Minimal Wear),43.73,37.3379859,43.73,37.3379859,2131,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:15:59.115709+00:00,ok,
AK-47 | Nouveau Rouge (Battle-Scarred),10.85,9.2640555,11.05,9.4348215,195,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:16:11.504172+00:00,ok,
M4A4 | Hellish (Battle-Scarred),23.23,19.8344709,23.31,19.902777299999997,97,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:16:18.756833+00:00,ok,
AK-47 | Head Shot (Battle-Scarred),29.06,24.812299799999998,28.89,24.6671487,217,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:16:28.202657+00:00,ok,
AWP | Exoskeleton (Battle-Scarred),4.6,3.9276179999999994,4.64,3.9617712,365,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:16:38.124048+00:00,ok,
AK-47 | Slate (Minimal Wear),6.87,5.8658121,7.01,5.9853483,6618,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:16:48.018683+00:00,ok,
Five-SeveN | Case Hardened (Minimal Wear),17.52,14.959101599999999,17.52,14.959101599999999,785,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:16:54.977178+00:00,ok,
Desert Eagle | Urban DDPAT (Minimal Wear),17.21,14.6944143,17.23,14.7114909,72,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:16:58.405955+00:00,ok,
AWP | Ice Coaled (Factory New),38.16,32.582152799999996,37.17,31.736861100000002,469,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:17:10.573283+00:00,ok,
AUG | Momentum (Field-Tested),5.63,4.8070629,5.48,4.678988400000001,533,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:17:21.784289+00:00,ok,
AWP | Elite Build (Battle-Scarred),14.28,12.192692399999999,14.31,12.2183073,167,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:17:27.147545+00:00,ok,
AUG | Fleet Flock (Battle-Scarred),11.99,10.2374217,11.42,9.7507386,50,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:17:33.064522+00:00,ok,
Galil AR | Rainbow Spoon (Factory New),80.33,68.5881639,79.65,68.0075595,817,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:17:42.021686+00:00,ok,
MP7 | Powercore (Minimal Wear),3.91,3.3384753000000003,3.86,3.2957837999999997,226,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:17:46.664295+00:00,ok,
Glock-18 | Vogue (Minimal Wear),6.05,5.165671499999999,6.13,5.2339779,764,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:17:55.159326+00:00,ok,
AWP | Atheris (Minimal Wear),7.96,6.796486799999999,7.97,6.8050251,1474,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:18:27.608700+00:00,ok,
P90 | Storm (Minimal Wear),3.45,2.9457135,3.36,2.8688688,55,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:18:31.363612+00:00,ok,
USP-S | Guardian (Minimal Wear),3.59,3.0652497,3.54,3.0225581999999998,976,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:18:41.940951+00:00,ok,
SSG 08 | Bloodshot (Field-Tested),18.55,15.8385465,18.77,16.0263891,275,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:18:48.251978+00:00,ok,
SCAR-20 | Wild Berry (Factory New),4.86,4.1496138,5.35,4.5679905,326,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:18:52.092952+00:00,ok,
Glock-18 | Nuclear Garden (Factory New),30.26,25.8368958,30.69,26.2040427,599,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:19:01.151114+00:00,ok,
P250 | Visions (Minimal Wear),5.56,4.7472948,5.49,4.6875267,669,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:19:10.035810+00:00,ok,
Five-SeveN | Heat Treated (Minimal Wear),8.74,7.4624742,9.09,7.7613147,2065,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:19:22.022897+00:00,ok,
M4A4 | Polysoup (Factory New),51.98,44.3820834,52.67,44.9712261,449,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:19:29.157801+00:00,ok,
G3SG1 | Dream Glade (Factory New),5.75,4.9095225,5.93,5.0632119,628,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:19:38.611722+00:00,ok,
CZ75-Auto | Red Astor (Factory New),16.55,14.1308865,16.39,13.9942737,108,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:19:42.323123+00:00,ok,
FAMAS | Mecha Industries (Factory New),86.21,73.6086843,85.02,72.59262659999999,449,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:19:46.241199+00:00,ok,
Nova | Antique (Factory New),14.35,12.2524605,13.98,11.9365434,172,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:19:53.338085+00:00,ok,
SSG 08 | Detour (Factory New),68.25,58.2738975,68.2,58.231206,107,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:20:00.197941+00:00,ok,
AWP | Hyper Beast (Battle-Scarred),35.35,30.1828905,34.99,29.8755117,216,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:20:04.523157+00:00,ok,
XM1014 | Entombed (Minimal Wear),4.3,3.6714689999999996,5.07,4.3289181,780,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:20:15.848982+00:00,ok,
SCAR-20 | Bloodsport (Factory New),23.8,20.321154,23.24,19.843009199999997,289,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:20:28.824730+00:00,ok,
UMP-45 | Crimson Foil (Factory New),14.61,12.4744563,15.09,12.8842947,1055,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:20:42.805477+00:00,ok,
AWP | Ice Coaled (Battle-Scarred),5.05,4.3118415,5.09,4.345994699999999,482,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:20:53.851861+00:00,ok,
FAMAS | Yeti Camo (Factory New),3.86,3.2957837999999997,4.24,3.6202392,775,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:21:04.286902+00:00,ok,
XM1014 | Halftone Shift (Factory New),4.8,4.098383999999999,5.11,4.3630713000000005,333,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:21:11.595661+00:00,ok,
XM1014 | Ziggy (Factory New),8.35,7.1294805,8.28,7.069712399999999,158,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:21:17.700256+00:00,ok,
CZ75-Auto | Slalom (Factory New),28.1,23.992623000000002,29.22,24.9489126,253,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:21:22.969227+00:00,ok,
Desert Eagle | Printstream (Factory New),86.63,73.96729289999999,84.66,72.2852478,1269,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:21:26.964276+00:00,ok,
MP9 | Arctic Tri-Tone (Factory New),15.49,13.2258267,15.84,13.5246672,1581,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:21:36.909112+00:00,ok,
Galil AR | Eco (Field-Tested),12.89,11.0058687,12.84,10.963177199999999,1572,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:21:46.283586+00:00,ok,
SG 553 | Dragon Tech (Factory New),2.74,2.3394942000000003,2.69,2.2968026999999998,767,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:22:27.614628+00:00,ok,
XM1014 | Entombed (Factory New),8.53,7.283169899999999,9.04,7.718623199999999,697,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:22:38.489095+00:00,ok,
USP-S | Alpine Camo (Factory New),4.02,3.4323965999999997,4.13,3.5263179,3304,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:22:49.936137+00:00,ok,
Glock-18 | Block-18 (Factory New),2.92,2.4931836,2.93,2.5017219,1656,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:23:03.943885+00:00,ok,
M4A4 | Evil Daimyo (Field-Tested),3.42,2.9200985999999998,3.44,2.9371752,918,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:23:29.937385+00:00,ok,
Negev | dev_texture (Factory New),3.84,3.2787072,3.76,3.2104008,276,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:23:35.145593+00:00,ok,
Desert Eagle | Night (Minimal Wear),22.58,19.279481399999998,22.77,19.4417091,417,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:23:47.066738+00:00,ok,
AK-47 | Redline (Field-Tested),31.61,26.9895663,31.08,26.537036399999998,14888,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:23:58.180126+00:00,ok,
AK-47 | Slate (Well-Worn),3.87,3.3043221,3.93,3.3555519,3338,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:24:08.386959+00:00,ok,
AK-47 | Emerald Pinstripe (Field-Tested),2.77,2.3651090999999997,2.78,2.3736474,1083,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:24:19.825892+00:00,ok,
AWP | Asiimov (Battle-Scarred),80.98,69.1431534,79.86,68.1868638,1477,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:24:31.964535+00:00,ok,
M4A1-S | Basilisk (Minimal Wear),10.37,8.8542171,10.62,9.067674599999998,649,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:24:41.427591+00:00,ok,
Glock-18 | Water Elemental (Battle-Scarred),19.84,16.9399872,19.15,16.350844499999997,97,USD,0.85383,Frankfurter 2026-04-24 (ECB),2026-04-26T23:24:46.369424+00:00,ok,
