market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
Galil AR | Rainbow Spoon (Minimal Wear),625579346176732906,48793007906,66.97,58.24,0.11896493285894,421,,5824.0,873,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),624451090128520350,49421626823,67.67,58.85,0.11456871777773,49,,5885.0,882,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),651475044036569166,49268069109,67.8,58.97,0.13114748895168,134,,5897.0,883,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),654848308049531109,45737351272,67.94,59.09,0.07955832034349,814,,5909.0,885,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),734783396115634167,49111823015,68.8,59.83,0.12119620293379,325,,5983.0,897,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),623324375001374943,49555355445,68.89,59.91,0.09989701956511,250,,5991.0,898,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),636836442305432289,48394885510,69.0,60.0,0.08292606472969,42,,6000.0,900,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),654852743755158151,51044574151,69.0,60.0,0.07314477860928,696,,6000.0,900,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),633458289366646868,43724584055,69.14,60.13,0.07914303988218,130,,6013.0,901,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),659356415309522530,50044952714,69.24,60.21,0.13496734201908,318,,6021.0,903,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),625577443236717758,50022989317,69.87,60.77,0.10503946989775,213,,6077.0,910,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),631208917654690862,51046810567,69.88,60.78,0.09370803833008,267,,6078.0,910,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),648094172934590472,47883113631,70.0,60.88,0.07860335707664,17,,6088.0,912,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),726901462963303785,48919174263,70.69,61.48,0.11879716813564,82,,6148.0,921,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),655978643660135645,49542046150,70.69,61.48,0.12661771476269,705,,6148.0,921,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),818099459894586492,48894046111,74.9,65.14,0.09465660154819,708,,6514.0,976,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),657101372171449929,50527571201,75.03,65.25,0.10415064543486,706,,6525.0,978,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),636838417148907100,51079086991,78.0,67.83,0.14139415323734,383,,6783.0,1017,2003.0,111
